folder,product,vendor,type,file,url
02_accessories,Pilates Sitting Box by Align Pilates,T8 Fitness,Pilates Studio,Pilates_Sitting_Box_by_Align_Pilates.jpg,https://www.t8fitness.com/products/pilates-box-by-align-pilates
01_key-equipment,Pilates Stacking Arc Barrel by Align Pilates,T8 Fitness,Pilates Studio,Pilates_Stacking_Arc_Barrel_by_Align_Pilates.jpg,https://www.t8fitness.com/products/pilates-stacking-arc-barrel-by-align-pilates
01_key-equipment,Pilates Stacking Arc Barrel by Align Pilates,T8 Fitness,Pilates Studio,Pilates_Stacking_Arc_Barrel_by_Align_Pilates__2.jpg,https://www.t8fitness.com/products/pilates-stacking-arc-barrel-by-align-pilates
01_key-equipment,Pilates Stacking Arc Barrel by Align Pilates,T8 Fitness,Pilates Studio,Pilates_Stacking_Arc_Barrel_by_Align_Pilates__3.jpg,https://www.t8fitness.com/products/pilates-stacking-arc-barrel-by-align-pilates
02_accessories,"Pilates Jump Board For C, F, R & H-Series Pilates Reformers",Align Pilates,Pilates Studio,Pilates_Jump_Board_For_C_F_R_H-Series_Pilates_Reformers.jpg,https://www.t8fitness.com/products/pilates-jump-board-by-align-pilates
01_key-equipment,A2 Pilates Cadillac by Align Pilates,Align Pilates,Pilates Studio,A2_Pilates_Cadillac_by_Align_Pilates.jpg,https://www.t8fitness.com/products/a2-pilates-cadillac-by-align-pilates
01_key-equipment,A2 Pilates Cadillac by Align Pilates,Align Pilates,Pilates Studio,A2_Pilates_Cadillac_by_Align_Pilates__2.jpg,https://www.t8fitness.com/products/a2-pilates-cadillac-by-align-pilates
01_key-equipment,A2 Pilates Cadillac by Align Pilates,Align Pilates,Pilates Studio,A2_Pilates_Cadillac_by_Align_Pilates__3.jpg,https://www.t8fitness.com/products/a2-pilates-cadillac-by-align-pilates
01_key-equipment,A2 Pilates Cadillac by Align Pilates,Align Pilates,Pilates Studio,A2_Pilates_Cadillac_by_Align_Pilates__4.jpg,https://www.t8fitness.com/products/a2-pilates-cadillac-by-align-pilates
01_key-equipment,Pilates Cadillac Frame by Align Pilates,Align Pilates,Pilates Studio,Pilates_Cadillac_Frame_by_Align_Pilates.jpg,https://www.t8fitness.com/products/pilates-cadillac-frame-by-align-pilates
01_key-equipment,Pilates Cadillac Frame by Align Pilates,Align Pilates,Pilates Studio,Pilates_Cadillac_Frame_by_Align_Pilates__2.jpg,https://www.t8fitness.com/products/pilates-cadillac-frame-by-align-pilates
01_key-equipment,Pilates Half Cadillac Frame by Align Pilates,Align Pilates,Pilates Studio,Pilates_Half_Cadillac_Frame_by_Align_Pilates.jpg,https://www.t8fitness.com/products/pilates-half-cadillac-frame-by-align-pilates
02_accessories,Pilates Rotational Discs by Align Pilates,T8 Fitness,Pilates Studio,Pilates_Rotational_Discs_by_Align_Pilates.jpg,https://www.t8fitness.com/products/pilates-rotational-discs-by-align-pilates
